date,floor_price,opening_price,ceiling_price,volume,amount,closing_price
2007/03/05,7.08,7.08,8.26,229245.19,179806368.0,7.93
2007/03/06,7.31,7.6,7.83,147148.98,110716416.0,7.41
2007/03/07,7.31,7.41,7.93,119688.48,91456416.0,7.85
2007/03/08,7.68,7.8,8.2,87752.05,70239808.01,8.05
2007/03/09,7.9,7.97,8.3,80085.99,65153420.0,8.12
2007/03/12,7.7,8.0,8.13,62850.67,49669400.0,7.93
2007/03/13,7.8,8.0,8.06,42843.21,33966636.0,7.99
2007/03/14,7.45,7.97,7.97,44429.01,34151612.01,7.68
2007/03/15,7.69,7.69,7.89,30434.28,23657967.98,7.72
2007/03/16,7.4,7.75,7.78,55296.41,41950008.01,7.49
2007/03/19,7.18,7.3,7.8,36295.04,27373298.01,7.78
2007/03/20,7.69,7.9,8.56,85442.46,69267728.01,8.56
2007/03/21,8.31,8.58,8.75,115142.31,98575208.0,8.6
2007/03/22,8.4,8.6,8.87,65730.34,56428612.0,8.48
2007/03/23,8.22,8.47,8.73,82311.5,70203968.0,8.71
2007/03/26,8.53,8.71,8.87,52190.75,45478204.0,8.67
2007/03/27,8.62,8.77,9.54,105415.81,94757960.01,9.21
2007/03/28,8.43,9.1,9.25,69243.14,61291584.0,8.8
2007/03/29,8.24,8.8,8.8,45611.44,38756412.0,8.24
2007/03/30,8.0,8.15,8.45,24466.4,20225054.0,8.27
2007/04/02,8.18,8.34,8.43,29118.17,24119600.01,8.41
2007/04/03,8.28,8.5,8.53,28015.58,23497140.01,8.46
2007/04/04,8.31,8.48,8.93,68315.12,59508372.0,8.8
2007/04/05,8.44,8.79,8.79,33948.02,29278326.01,8.66
2007/04/06,8.52,8.55,8.74,42669.85,36745728.0,8.67
2007/04/09,8.59,8.66,8.82,54681.26,47595732.01,8.78
2007/04/10,8.5,8.78,9.19,86607.06,76987936.01,8.99
2007/04/11,8.65,8.98,9.22,60064.79,53912844.0,9.09
2007/04/12,8.83,9.07,9.13,42152.45,37749352.0,8.97
2007/04/13,8.78,9.08,9.13,68213.97,61005132.0,8.83
2007/04/16,9.0,9.08,9.27,87985.24,80552720.0,9.27
2007/04/17,9.09,9.3,9.48,68243.88,63175232.0,9.39
2007/04/18,9.3,9.45,9.94,65310.43,62747988.0,9.67
2007/04/19,9.36,9.6,10.5,124794.51,122639960.0,9.81
2007/04/20,9.95,9.95,10.5,84216.39,86140592.0,10.35
2007/04/23,9.5,9.5,11.13,71471.6,76710512.0,10.76
2007/04/24,10.76,10.78,11.39,71724.9,79334264.0,10.77
2007/04/25,9.8,10.55,11.16,89941.92,95893040.0,11.11
2007/04/26,11.0,11.4,11.4,44616.71,49660616.0,11.11
2007/04/27,10.55,11.12,11.15,45802.77,49735396.0,11.0
2007/04/30,10.6,10.8,11.5,84545.73,94695792.0,11.4
2007/05/08,11.13,11.65,11.8,86880.67,99165120.0,11.8
2007/05/09,11.35,11.6,12.13,51795.48,60573804.0,11.65
2007/05/10,11.2,11.59,11.74,36093.68,41387108.0,11.38
2007/05/11,10.7,11.1,11.19,51276.03,55933320.0,10.77
2007/05/14,10.51,10.75,10.95,35141.2,37651140.0,10.79
2007/05/15,10.0,10.74,10.9,42073.48,44212644.0,10.2
2007/05/16,9.91,10.0,10.38,39686.47,40157292.0,10.3
2007/05/17,10.22,10.38,10.77,38770.9,40744884.0,10.75
2007/05/18,10.56,10.7,11.15,53153.86,58221668.0,11.05
2007/05/21,10.26,10.26,11.43,68614.55,76387336.0,11.4
2007/05/22,11.59,11.64,11.98,135504.71,159247312.0,11.59
2007/05/23,11.41,11.41,11.77,69455.1,80335768.0,11.68
2007/05/24,11.0,11.67,11.74,47636.46,53888136.0,11.28
2007/05/25,11.02,11.27,11.48,41568.26,46701728.01,11.22
2007/05/28,11.18,11.31,11.49,63556.3,72304472.0,11.41
2007/05/29,11.22,11.55,11.64,61236.05,70368824.0,11.47
2007/05/30,10.32,10.41,11.23,65883.88,69818520.0,10.32
2007/05/31,9.29,10.0,10.2,70332.46,66514336.0,9.36
2007/06/01,8.42,9.41,9.5,49780.63,43756308.0,8.42
2007/06/04,7.66,8.44,8.8,70188.14,58128136.0,8.12
2007/06/05,7.92,8.0,8.93,76438.72,64995016.0,8.93
2007/06/06,8.76,9.05,9.43,81096.76,74480664.0,9.17
2007/06/07,9.0,9.28,9.49,57020.44,53193400.0,9.36
2007/06/08,9.11,9.37,9.44,51370.55,47618760.0,9.28
2007/06/11,9.25,9.46,9.78,48867.88,46302952.0,9.45
2007/06/12,8.81,9.45,9.5,43986.69,40566328.0,9.47
2007/06/13,9.3,9.58,9.99,67008.51,65361244.0,9.79
2007/06/14,9.28,9.72,9.9,41386.6,39518920.0,9.35
2007/06/15,9.0,9.19,9.41,30540.8,28062768.0,9.18
2007/06/18,9.25,9.25,9.75,42256.68,40231936.01,9.6
2007/06/19,9.5,9.5,10.47,84456.19,84382048.0,10.37
2007/06/21,9.6,9.9,10.15,56809.87,56185520.0,9.77
2007/06/22,8.79,9.78,9.86,53348.54,48533632.0,8.84
2007/06/25,7.96,8.8,8.8,27358.45,22317114.0,7.96
2007/06/26,7.25,7.57,8.25,36157.29,28530364.0,8.25
2007/06/27,7.9,8.15,8.35,33464.43,27392284.01,8.29
2007/06/28,7.5,8.33,8.45,27913.1,22294020.0,7.5
2007/06/29,7.0,7.22,7.67,21834.32,15782699.0,7.03
2007/07/02,6.81,7.11,7.43,24460.01,17514144.0,7.25
2007/07/03,7.19,7.29,7.59,37461.53,27599110.0,7.45
2007/07/04,7.38,7.48,7.77,31149.2,23692088.01,7.49
2007/07/05,6.9,7.37,7.56,20170.44,14415244.01,6.95
2007/07/06,6.9,6.95,7.5,22555.73,16337407.0,7.47
2007/07/09,7.42,7.42,7.97,41683.71,32281232.01,7.97
2007/07/10,7.62,7.88,8.09,35346.55,27637552.0,7.8
2007/07/11,7.57,7.8,7.85,19712.05,15195468.01,7.77
2007/07/12,7.66,7.78,7.91,14836.89,11560791.88,7.79
2007/07/13,7.56,7.8,7.8,10277.79,7834746.5,7.69
2007/07/16,7.18,7.69,7.69,11370.13,8443942.0,7.18
2007/07/17,7.05,7.13,7.35,10643.71,7702689.51,7.26
2007/07/18,7.11,7.26,7.35,8742.73,6322744.0,7.2
2007/07/19,7.15,7.15,7.38,6267.65,4577167.0,7.3
2007/07/20,7.24,7.31,7.6,20780.22,15517966.01,7.55
2007/07/23,7.65,7.65,8.15,40621.5,32284234.0,8.12
2007/07/24,7.98,8.12,8.3,32947.44,26860418.0,8.1
2007/07/25,8.02,8.02,8.46,27610.89,22901526.01,8.35
2007/07/26,8.22,8.37,8.65,28347.15,23899246.0,8.56
2007/07/27,8.32,8.4,8.86,34995.57,30053384.0,8.77
2007/07/30,9.09,9.09,9.65,95834.14,91507168.0,9.65
2007/07/31,9.7,9.7,10.5,149987.2,151768144.0,9.95
2007/08/02,9.43,9.43,10.3,80360.84,79406992.0,10.14
2007/08/03,9.75,10.12,10.35,55232.05,55583732.0,10.02
2007/08/06,10.03,10.24,10.52,66195.46,68327952.0,10.49
2007/08/07,10.01,10.32,10.46,44222.76,44854684.0,10.05
2007/08/08,9.3,9.89,10.0,37319.98,35973024.0,9.62
2007/08/09,9.4,9.55,9.8,22535.96,21697650.0,9.63
2007/08/10,9.04,9.6,9.6,27641.41,25659106.0,9.39
2007/08/13,9.56,9.56,10.22,43064.4,43002812.0,9.9
2007/08/14,9.62,9.92,10.21,29968.11,29903984.01,9.99
