date,floor_price,opening_price,ceiling_price,volume,amount,closing_price
2007/01/04,3.34,3.45,3.63,122655.8,42666136.0,3.49
2007/01/05,3.4,3.46,3.58,78774.29,27684484.01,3.56
2007/01/08,3.58,3.6,3.8,205347.59,75903496.0,3.76
2007/01/09,3.67,3.74,3.79,99758.09,37176252.0,3.75
2007/01/10,3.71,3.75,3.85,107541.86,40764468.01,3.85
2007/01/11,3.75,3.86,3.98,132494.59,51424792.01,3.79
2007/01/12,3.51,3.77,3.88,107927.04,40099004.01,3.56
2007/01/15,3.59,3.63,3.81,87193.03,32360406.0,3.79
2007/01/16,3.72,3.79,3.87,119326.82,45458136.01,3.85
2007/01/17,3.89,3.89,4.24,376906.58,156472976.0,4.24
2007/01/18,4.11,4.24,4.3,174941.6,73855176.0,4.26
2007/01/19,4.18,4.24,4.45,174284.97,74937008.0,4.43
2007/01/22,4.35,4.51,4.55,176668.37,78563408.0,4.5
2007/01/23,4.28,4.53,4.55,169845.69,75075616.0,4.48
2007/01/24,4.51,4.51,4.9,222501.74,106048568.0,4.75
2007/01/25,4.37,4.68,4.68,154041.15,69733887.75,4.37
2007/01/26,4.12,4.3,4.49,144256.45,62295712.0,4.4
2007/01/29,4.39,4.46,4.65,144530.37,65198760.0,4.58
2007/01/30,4.5,4.59,4.87,186878.77,87221976.0,4.87
2007/01/31,4.77,4.92,5.27,287676.58,144072784.0,4.85
2007/02/01,4.51,4.82,5.06,190226.75,91423560.0,4.95
2007/02/02,4.85,4.97,5.25,185338.49,94271056.0,4.98
2007/02/05,4.48,4.48,4.68,129117.86,58059640.0,4.48
2007/02/06,4.13,4.18,4.41,201423.72,85812112.0,4.37
2007/02/07,4.27,4.34,4.49,192104.29,84009200.0,4.48
2007/02/08,4.39,4.44,4.51,118797.68,52823220.0,4.46
2007/02/09,4.36,4.44,4.49,99300.92,43920396.01,4.47
2007/02/12,4.44,4.44,4.63,123976.31,56194484.01,4.59
2007/02/13,4.55,4.58,4.74,116641.27,53998468.0,4.74
2007/02/14,4.71,4.71,4.9,122191.97,59004332.0,4.8
2007/02/15,4.8,4.81,4.95,124456.7,60697492.0,4.93
2007/02/16,4.9,4.98,5.42,235351.96,122549880.0,5.31
