date,floor_price,opening_price,ceiling_price,volume,amount,closing_price
2007/01/08,4.64,4.64,4.64,4726.11,2192915.0,4.64
2007/01/09,4.58,4.87,4.87,39902.36,18877152.0,4.6
2007/01/11,4.6,4.6,4.83,33536.71,16066917.0,4.83
2007/01/12,4.73,4.87,4.87,18062.43,8649588.0,4.77
2007/01/15,4.68,4.74,4.83,16465.44,7870697.0,4.83
2007/01/16,4.75,4.82,4.85,19182.23,9205207.0,4.8
2007/01/17,4.78,4.8,4.99,27893.14,13671737.0,4.93
2007/01/18,4.75,4.91,4.93,14775.3,7147239.0,4.9
2007/01/19,4.9,4.9,5.15,37799.91,19241840.0,5.15
2007/01/22,5.09,5.22,5.25,35130.45,18125260.0,5.24
2007/01/23,5.07,5.24,5.24,26783.52,13756439.0,5.18
2007/01/24,5.1,5.18,5.22,26226.06,13576365.0,5.2
2007/01/25,5.12,5.19,5.37,31533.24,16629591.0,5.19
2007/01/26,4.93,5.11,5.2,22518.43,11337875.0,5.1
2007/01/29,5.08,5.11,5.24,19725.69,10161056.0,5.21
2007/01/30,5.05,5.21,5.21,18132.56,9264977.0,5.11
2007/01/31,4.96,5.12,5.31,25030.42,12897241.0,4.97
2007/02/01,4.89,4.9,5.05,15001.44,7448515.0,4.97
2007/02/02,4.81,4.97,4.97,18282.8,8956834.0,4.83
2007/02/05,4.71,4.71,4.89,12906.97,6224629.0,4.87
2007/02/06,4.87,4.9,4.97,12477.55,6134759.0,4.95
2007/02/07,4.94,4.94,5.15,20247.58,10202915.0,5.1
2007/02/08,5.06,5.13,5.15,16915.4,8622968.0,5.12
2007/02/09,5.1,5.15,5.23,20632.36,10674197.0,5.19
2007/02/12,5.22,5.22,5.39,29074.55,15498168.0,5.35
2007/02/13,5.39,5.41,5.62,30357.73,16750125.0,5.62
2007/02/14,5.7,5.7,5.9,9518.44,5576285.0,5.9
2007/02/15,5.82,6.18,6.2,51086.35,30712664.0,6.06
2007/02/16,5.91,6.05,6.18,32580.72,19673984.0,6.07
2007/02/26,6.02,6.02,6.37,28841.82,18019134.0,6.37
