date,floor_price,opening_price,ceiling_price,volume,amount,closing_price
2007/11/20,34.7,36.81,43.28,250771.86,955723392.0,42.3
2007/11/21,39.0,40.2,46.53,165874.5,695711744.0,46.53
2007/11/22,43.01,43.9,48.48,121957.61,557752896.0,44.19
2007/11/23,39.77,44.01,45.0,72433.25,305213857.0,39.99
2007/11/26,39.18,40.5,41.8,49403.35,199878112.0,40.1
2007/11/27,36.52,39.1,39.7,49768.63,187692016.0,36.81
2007/11/28,34.84,36.88,37.5,30448.71,109631112.0,35.0
2007/11/29,35.2,35.95,37.95,46059.87,168421584.0,36.21
2007/11/30,35.6,36.0,37.39,28546.78,104135624.0,36.95
2007/12/03,35.88,36.7,38.32,22317.68,83218648.0,37.34
2007/12/04,36.61,37.32,38.2,15311.83,57058516.0,36.95
2007/12/05,36.38,36.66,38.65,25986.87,98173056.0,38.23
2007/12/06,38.02,38.02,39.35,18340.02,71253368.0,38.67
2007/12/07,38.38,38.88,39.26,14676.44,56924700.0,38.9
2007/12/10,38.2,38.2,42.79,30826.85,127531456.0,42.79
2007/12/11,43.8,43.8,47.07,59058.04,272979359.0,47.07
2007/12/17,48.3,49.86,51.78,52061.73,261477728.0,51.78
2007/12/18,47.4,50.98,51.65,30860.84,153188880.0,48.78
2007/12/19,48.89,48.89,53.66,28006.53,145500640.0,53.66
2007/12/28,54.8,54.88,59.03,42129.35,246150944.0,59.03
2008/01/02,63.0,63.0,64.93,11029.41,70880304.0,64.93
2008/01/03,70.4,71.42,71.42,13703.42,97715080.0,71.42
2008/01/04,68.2,77.89,78.56,74520.67,564963392.0,78.56
2008/01/07,70.7,70.7,76.0,58994.95,430706336.0,71.43
2008/01/08,64.35,69.5,77.42,82709.25,566134912.0,74.13
2008/01/09,68.51,70.05,72.0,42009.5,295915456.0,69.9
2008/01/10,67.5,68.52,70.9,29937.08,205587616.0,68.11
2008/01/11,64.55,67.39,67.7,31043.34,203157888.0,64.6
2008/01/14,62.3,62.65,67.78,32174.37,210700720.0,65.8
2008/01/15,63.36,65.0,65.68,21330.4,137196928.0,63.95
2008/01/16,62.71,63.8,68.8,37637.27,251071504.0,66.5
2008/01/17,63.0,65.55,66.98,20701.7,134368384.0,64.8
2008/01/21,65.0,65.48,69.3,24217.98,163353792.0,66.5
2008/01/22,59.85,65.5,65.5,22463.8,138484848.0,59.85
2008/01/23,55.68,59.0,62.5,27392.48,162778864.0,60.88
2008/01/24,58.04,61.5,62.5,20055.66,121352752.0,60.2
2008/01/25,58.11,59.0,60.66,15601.33,91857520.0,58.69
2008/01/28,52.82,57.98,57.98,21212.49,114909000.0,52.82
2008/01/29,50.2,52.03,55.0,16212.08,85342424.0,53.36
2008/01/30,51.08,53.1,54.5,13124.14,69262352.0,51.8
2008/01/31,51.55,51.78,56.98,34523.9,193249776.0,56.98
2008/02/01,55.21,55.45,61.68,45953.99,273857408.0,60.82
2008/02/04,62.0,62.5,66.0,29774.76,190557646.0,64.52
2008/02/05,61.31,63.8,66.0,23387.53,149204960.0,63.98
2008/02/13,59.2,63.0,63.96,17836.01,109344216.0,59.2
2008/02/14,58.87,59.0,60.99,10840.58,64682220.0,59.71
2008/02/15,55.5,59.01,59.01,18955.89,107570720.0,57.05
2008/02/18,57.07,57.07,59.6,12316.5,72091776.0,58.23
2008/02/19,57.5,58.26,63.99,26108.32,160947664.0,62.45
2008/02/20,58.99,60.0,62.0,49049.69,293939520.0,60.55
2008/02/21,57.8,59.11,60.38,22695.41,133203928.0,58.3
2008/02/22,56.66,57.58,59.8,19003.79,110424024.0,57.3
2008/02/25,53.31,57.9,57.9,19741.08,108544832.0,53.61
2008/02/26,52.5,54.41,55.99,15041.29,81249192.0,55.0
2008/02/27,54.52,55.0,55.96,10309.04,57130784.0,55.5
2008/02/28,53.86,56.0,56.29,10266.92,56305312.0,54.5
2008/02/29,54.01,54.19,58.5,21107.92,120825048.01,57.45
2008/03/03,56.4,56.4,59.52,15857.02,92962456.0,58.52
2008/03/04,56.81,58.63,59.5,16335.07,94508736.0,57.1
2008/03/05,54.3,56.7,57.38,14278.34,79270064.0,55.7
2008/03/06,54.5,55.48,60.0,19983.65,115764336.0,58.33
2008/03/07,56.28,57.15,58.45,10222.36,58407852.0,56.58
2008/03/10,55.44,57.0,58.82,11564.1,66334619.88,56.7
2008/03/11,55.88,56.45,59.4,20819.98,121611376.01,59.05
2008/03/12,56.89,60.0,60.0,14173.45,82470296.0,56.89
2008/03/13,52.75,55.6,56.4,18728.49,102137592.0,54.0
2008/03/14,52.75,53.62,55.08,7911.07,42446212.01,53.52
2008/03/17,48.17,53.0,53.0,19799.66,98581040.0,48.17
2008/03/18,43.35,46.11,48.09,16703.39,75209472.0,43.35
2008/03/19,43.5,45.0,47.3,16444.09,74851344.0,45.97
2008/03/20,42.88,44.5,50.5,29844.71,142675248.0,50.5
2008/03/21,49.5,49.5,53.8,29414.33,153337504.0,50.99
2008/03/24,49.5,51.59,52.76,15923.63,81345136.0,49.5
2008/03/25,47.6,48.95,50.87,11155.05,54926776.0,50.06
2008/03/26,48.75,50.07,51.48,7234.41,36224208.0,49.3
2008/03/27,45.78,48.1,48.48,12623.77,59222428.0,45.8
2008/03/28,44.4,45.0,48.0,14708.82,68631560.0,47.7
2008/03/31,46.0,46.6,49.0,13051.55,62367516.0,47.61
2008/04/01,42.85,45.85,45.99,17057.82,74360184.0,42.85
2008/04/02,38.57,43.0,43.9,20206.3,80777712.0,38.9
2008/04/03,36.5,38.4,40.2,16976.27,65291512.0,39.0
2008/04/07,37.38,38.5,41.5,15501.96,62610000.0,41.4
2008/04/08,40.66,41.63,44.79,21568.66,92088896.0,43.3
2008/04/09,39.3,42.85,43.42,15732.91,65459372.0,39.83
2008/04/10,38.8,39.0,40.88,9850.53,39256376.0,40.42
2008/04/11,40.68,40.68,43.1,11677.86,49202380.0,41.82
2008/04/14,37.64,38.0,39.9,16684.31,64408900.0,37.7
2008/04/15,37.0,37.78,39.46,10429.27,40236812.0,39.45
2008/04/16,38.2,39.45,39.9,7595.4,29656438.01,38.47
2008/04/17,37.47,38.2,39.4,7406.1,28217522.0,38.1
2008/04/18,36.0,37.95,37.95,7741.06,28471861.94,36.1
2008/04/21,36.59,39.0,39.07,11776.62,44448188.0,36.95
2008/04/22,34.58,36.6,36.6,8917.3,31673198.0,35.97
2008/04/23,35.4,35.58,38.06,11126.32,41109552.01,37.5
2008/04/24,39.5,41.0,41.25,28561.99,116028024.0,41.25
2008/04/25,40.15,42.0,43.3,24073.39,101739736.0,41.7
2008/04/28,40.23,40.23,44.0,20175.48,86435024.0,42.85
2008/04/29,41.68,42.56,43.4,13703.09,58399372.0,43.0
2008/04/30,43.0,44.0,44.98,19228.87,85351936.0,44.4
2008/05/05,43.65,45.0,45.5,19785.14,88352064.0,44.84
2008/05/06,43.04,44.49,46.19,23050.32,102584680.0,45.34
2008/05/07,41.5,45.0,45.18,15420.14,67485960.0,41.9
2008/05/09,41.94,43.5,43.98,13428.67,57716160.0,42.6
2008/05/12,41.9,42.65,44.98,18730.68,82365544.0,44.65
2008/05/13,42.5,42.92,44.24,15188.27,65733336.0,42.78
2008/05/14,42.72,42.72,44.24,9968.6,43554980.0,43.55
2008/05/15,44.2,44.5,47.91,39136.15,185700446.0,47.91
2008/05/16,49.0,49.0,52.48,61494.79,312113920.0,49.98
2008/05/19,48.2,50.13,50.8,20969.66,103127104.0,49.41
2008/05/20,48.59,49.11,53.93,42289.85,220329344.0,52.2
2008/05/21,48.3,50.38,53.6,36314.74,185189312.0,52.65
2008/05/22,49.5,51.61,52.1,22086.48,111981336.0,49.95
2008/05/23,47.01,48.85,49.9,19934.76,95923416.0,47.15
2008/05/26,46.11,46.51,49.88,17363.45,83939920.0,47.36
2008/05/27,46.81,47.43,48.6,7836.37,37408536.0,48.0
2008/05/28,47.0,48.0,49.38,12740.33,61401580.0,48.57
2008/05/29,46.65,48.5,48.9,11979.47,57101964.01,46.7
2008/05/30,44.73,46.68,47.45,12873.98,58960340.0,45.9
2008/06/02,44.53,44.53,46.7,8749.79,40010776.0,45.8
2008/06/03,44.75,45.5,48.1,17104.39,79761920.0,47.6
2008/06/04,46.02,46.9,47.29,8021.52,37317712.0,46.1
2008/06/05,46.03,46.57,47.98,11269.21,53544152.01,47.3
2008/06/06,47.28,47.28,49.0,14417.9,69794936.0,48.3
2008/06/10,43.47,47.0,47.0,17385.01,77834768.0,43.47
2008/06/11,40.28,41.3,43.0,12982.5,54049656.0,41.63
2008/06/12,40.3,41.5,42.79,11602.94,48473652.0,41.72
2008/06/13,37.68,42.0,42.0,12127.5,48157504.01,37.9
2008/06/16,35.9,38.46,38.88,9527.1,35608528.01,37.5
2008/06/17,36.2,37.3,38.6,11017.01,41150444.0,36.86
2008/06/18,34.68,36.8,40.1,23090.75,87416216.0,40.1
2008/06/19,36.2,39.4,41.3,21557.92,83941824.0,36.48
2008/06/20,36.03,36.03,39.9,19023.0,72867328.0,38.75
2008/06/23,37.81,38.4,39.85,10682.77,41579040.0,38.5
2008/06/24,38.25,38.25,41.35,18715.5,75532528.0,40.5
2008/06/25,40.01,40.01,42.96,17950.25,75107472.01,42.4
2008/06/26,41.3,42.4,43.46,17375.4,73399576.0,42.28
2008/06/27,38.51,40.03,41.17,16153.57,64062208.0,39.02
2008/06/30,38.02,38.6,41.29,16024.09,64691844.0,41.0
2008/07/01,40.2,41.5,42.3,15639.99,64653848.0,41.19
2008/07/02,40.8,41.3,42.18,10236.25,42387520.0,41.27
2008/07/03,40.1,40.39,43.98,23326.67,99283344.0,43.0
2008/07/04,42.6,42.85,47.3,38069.06,175997248.0,47.3
2008/07/07,49.51,49.51,52.03,21951.21,113007016.0,52.03
2008/07/08,53.0,55.5,57.23,80281.35,443734848.0,55.7
2008/07/09,54.0,56.0,59.89,61898.5,347383488.0,54.71
2008/07/10,52.9,54.68,56.98,48669.34,264603616.0,52.93
2008/07/11,50.44,52.28,53.4,39273.93,201450192.0,50.8
2008/07/14,50.61,50.75,53.68,30894.8,162302640.0,52.6
2008/07/15,48.35,51.7,54.8,46456.73,239073408.0,52.91
2008/07/16,48.72,51.4,53.3,26735.05,135645888.0,49.0
2008/07/17,47.4,50.0,50.89,22756.94,111550904.0,47.4
2008/07/18,46.1,47.8,49.3,27356.12,131508008.0,49.27
2008/07/21,48.9,49.8,54.2,34511.83,182456752.0,54.2
2008/07/22,54.0,56.7,57.0,40519.41,225050000.0,54.19
2008/07/23,54.0,54.65,56.6,28934.19,159604528.0,55.25
2008/07/24,54.15,55.31,56.38,25223.12,139634176.0,55.51
2008/07/25,53.55,55.01,55.78,21124.84,115336952.0,54.22
2008/07/28,54.2,55.1,55.4,14447.94,79057904.0,54.79
2008/07/29,51.65,54.0,54.4,16793.84,88843832.0,52.5
2008/07/30,52.71,53.5,56.56,33393.71,184208432.0,55.99
2008/07/31,52.1,56.66,57.0,20672.68,113589696.0,52.39
2008/08/01,50.03,50.6,56.2,29862.95,160832848.0,54.88
2008/08/04,54.05,54.47,55.98,18758.42,103229800.0,54.23
2008/08/05,50.33,53.8,54.99,20153.7,105523192.0,50.99
2008/08/06,51.2,51.5,53.99,19432.94,102043672.0,53.32
2008/08/07,51.68,52.68,54.2,19377.66,102705824.0,53.53
2008/08/08,48.18,54.0,54.0,33375.67,167595632.0,48.18
2008/08/11,43.36,46.0,46.0,5161.0,22566352.0,43.36
2008/08/12,39.02,39.02,39.02,2581.0,10071062.0,39.02
2008/08/13,35.12,35.12,38.58,28060.82,100350832.0,36.88
2008/08/14,34.84,35.29,38.19,30886.78,112156864.0,35.96
2008/08/15,35.9,35.96,37.19,18994.3,69620312.0,36.28
2008/08/18,32.65,37.0,37.0,24625.69,84219864.0,32.65
2008/08/19,30.0,30.6,32.82,23262.16,72577688.0,30.9
2008/08/20,30.58,30.86,33.68,24855.06,80700256.0,33.0
2008/08/21,30.16,32.0,33.0,22892.43,72030704.0,30.28
2008/08/22,27.89,29.8,31.8,26630.39,79293688.0,30.76
2008/08/25,29.45,30.3,30.79,12152.67,36563344.0,29.7
2008/08/26,27.38,29.2,29.2,15919.06,44918984.0,27.42
2008/08/27,27.0,27.21,28.46,13063.33,36402924.01,27.94
2008/08/28,27.23,27.84,28.2,8624.78,23896850.0,27.72
2008/08/29,27.73,27.8,28.53,10622.57,29963586.01,28.24
2008/09/01,27.59,28.18,28.29,9298.19,26004778.0,28.1
2008/09/02,27.71,28.1,28.29,6295.58,17615270.0,28.04
2008/09/03,26.29,28.0,28.19,12625.01,34360336.01,27.21
2008/09/04,26.41,27.0,27.2,7829.4,20913338.0,26.65
2008/09/05,24.02,25.88,26.0,13461.94,33773136.0,24.13
2008/09/08,21.72,24.25,25.0,17109.79,39203400.01,21.73
2008/09/09,21.52,21.93,22.3,8964.65,19541906.01,21.81
2008/09/10,21.08,21.88,23.0,16622.38,37340036.01,22.56
2008/09/11,21.41,22.3,22.97,9357.24,20664168.01,21.43
2008/09/12,21.01,21.26,21.71,8548.29,18255034.01,21.1
2008/09/16,20.0,21.09,21.27,10790.46,22157888.0,20.3
2008/09/17,20.05,20.3,20.78,8991.98,18381612.01,20.42
2008/09/18,18.54,20.0,20.22,14179.03,27487762.01,19.4
2008/09/19,20.81,21.34,21.34,12801.99,27202618.0,21.34
2008/09/22,21.89,23.38,23.47,31462.43,72427064.0,23.47
2008/09/23,21.7,22.61,22.61,14443.45,31978934.0,21.77
2008/09/24,21.11,21.5,23.78,23214.85,52940276.0,23.77
2008/09/25,23.02,23.59,24.59,23540.38,56300624.0,23.9
2008/09/26,22.61,23.91,24.05,14807.25,34540756.0,23.08
2008/10/06,21.68,22.95,22.95,10682.43,23653608.01,21.8
2008/10/07,20.2,20.7,21.5,9679.25,20088734.0,21.08
2008/10/08,20.08,20.2,20.95,7707.26,15729892.0,20.29
2008/10/09,20.28,20.79,20.89,6671.4,13734083.01,20.49
2008/10/10,18.8,19.57,19.8,10416.17,20020476.01,18.83
2008/10/13,18.51,18.73,20.71,14828.55,28965808.0,20.71
2008/10/14,20.7,21.88,22.6,19395.96,42222488.0,20.7
2008/10/15,20.15,20.15,21.8,12504.77,26399638.01,20.8
2008/10/16,19.22,19.7,20.18,10968.22,21638286.0,19.3
2008/10/17,19.5,20.0,20.19,6808.33,13482603.0,19.86
2008/10/20,19.51,19.91,20.7,9015.55,18197728.0,20.55
2008/10/21,20.22,20.55,20.97,8192.83,16837938.0,20.28
2008/10/22,19.36,19.9,20.25,8457.93,16679785.01,19.38
2008/10/23,18.68,18.8,20.0,8387.97,16459944.0,19.95
2008/10/24,19.2,19.89,20.08,5074.05,9947928.0,19.6
2008/10/27,17.9,19.3,19.48,10717.94,19901028.01,17.9
2008/10/28,17.32,17.5,18.45,9455.69,16976614.01,18.16
2008/10/29,17.7,18.8,18.8,7271.35,13270538.0,17.72
2008/10/30,17.7,17.95,18.4,7670.66,13913812.0,17.98
2008/10/31,17.7,17.99,18.17,3647.91,6533702.5,17.72
2008/11/03,17.35,17.7,17.9,4375.17,7711039.02,17.4
2008/11/04,16.01,17.36,17.39,9944.82,16414394.01,16.1
2008/11/05,16.0,16.3,16.88,8195.43,13525732.0,16.5
2008/11/06,15.51,16.1,16.1,7563.14,11936800.0,15.75
2008/11/07,15.26,15.4,16.25,7372.43,11646783.0,16.15
2008/11/10,16.39,16.39,17.53,10013.27,17102130.0,17.4
2008/11/11,17.0,17.05,17.8,10726.39,18595038.0,17.12
2008/11/12,16.8,16.85,17.36,6087.39,10440734.0,17.26
2008/11/13,17.25,17.26,18.48,15021.22,27137276.0,18.25
2008/11/14,18.08,18.3,19.5,18487.65,35163556.0,19.5
2008/11/17,19.43,19.58,20.45,17877.86,35552624.01,20.03
2008/11/18,18.03,19.88,20.01,17976.3,34090348.0,18.03
2008/11/19,18.14,18.2,19.29,12909.75,24252368.0,19.24
2008/11/20,18.88,19.06,20.45,19296.72,38376488.0,19.95
2008/11/21,18.5,19.3,20.04,14798.32,28624062.0,19.66
2008/11/24,18.78,19.66,19.98,8789.09,16957944.0,18.8
2008/11/25,18.18,18.95,19.2,6834.38,12778267.0,18.6
2008/11/26,18.3,18.65,18.9,3817.81,7113116.51,18.58
2008/11/27,18.88,19.85,19.99,10673.89,20743710.0,18.96
2008/11/28,18.6,18.66,19.15,5345.34,10081679.0,18.91
2008/12/01,18.66,18.79,20.0,12967.64,25426472.0,19.92
2008/12/02,19.45,19.55,21.91,40618.61,87188120.0,21.91
2008/12/03,21.8,22.22,22.99,37846.32,84377048.0,22.49
2008/12/04,22.0,22.37,23.5,29006.01,66321036.0,22.02
2008/12/05,21.68,21.92,22.64,18686.16,41375248.0,22.62
2008/12/08,23.1,23.1,24.7,27550.56,66331792.0,24.34
2008/12/09,23.15,24.5,24.51,23150.88,55105132.0,23.28
2008/12/10,23.0,23.1,24.0,14508.69,34132556.0,23.92
2008/12/11,22.75,23.65,23.95,18436.31,42784928.0,22.75
2008/12/12,21.01,22.5,22.7,16351.46,35587196.0,21.32
2008/12/15,21.39,21.75,22.2,12004.91,26263012.0,22.19
2008/12/16,21.18,21.9,22.33,9764.85,21195814.0,22.28
2008/12/17,22.49,22.49,23.3,16321.2,37458224.0,22.62
2008/12/18,22.31,22.31,23.38,12703.2,29207008.0,23.15
2008/12/19,23.0,23.15,23.74,13576.94,31707320.01,23.1
2008/12/22,23.0,23.05,25.41,40036.77,98195496.0,25.41
2008/12/23,23.86,25.41,26.68,48827.95,124622440.0,23.95
2008/12/24,22.66,23.16,24.2,24878.47,58123084.0,23.78
2008/12/25,22.71,23.78,24.1,17551.7,41051692.0,22.9
2008/12/26,23.0,23.0,23.88,12780.4,29914966.0,23.07
2008/12/29,21.91,23.1,23.1,12459.95,27782216.0,22.38
2008/12/30,22.22,22.41,22.85,9791.27,22122088.0,22.36
2008/12/31,22.01,22.55,23.26,12402.11,28289542.0,22.51
