date,floor_price,opening_price,ceiling_price,volume,amount,closing_price
2007/01/04,17.8,18.2,19.3,138760.7,260210592.0,18.13
2007/01/05,17.8,18.0,18.78,60594.19,110295640.0,18.22
2007/01/08,16.6,18.09,18.35,103141.93,179016544.0,17.44
2007/01/09,17.44,17.44,18.2,81955.7,145763776.0,17.78
2007/01/10,18.0,18.1,19.25,107233.7,199324384.0,18.97
2007/01/11,18.75,19.2,20.21,98982.24,193456032.0,19.34
2007/01/12,18.9,19.13,20.65,132742.83,267645648.0,20.05
2007/01/15,20.5,20.65,22.06,96420.83,204350416.0,22.06
2007/01/16,22.38,22.75,24.27,111034.41,267015248.0,24.27
2007/01/17,22.1,25.8,25.8,142251.59,338213824.0,22.5
2007/01/18,20.3,22.64,23.4,129500.9,289253952.0,22.99
2007/01/19,21.5,22.35,22.94,88410.81,196917344.0,22.83
2007/01/22,22.6,23.21,23.88,103971.04,240548320.0,23.02
2007/01/23,22.0,23.7,23.7,75114.58,172811056.0,22.89
2007/01/24,22.31,22.31,24.79,116967.82,279403104.0,23.92
2007/01/25,22.88,23.51,25.5,178313.69,437399808.0,24.25
2007/01/26,23.5,24.19,25.59,174801.82,429913824.0,24.9
2007/01/29,24.0,25.49,25.68,183777.94,453850432.0,25.12
2007/01/30,24.0,25.0,25.65,155858.34,386382687.0,24.4
2007/01/31,21.96,24.02,24.35,94045.23,217678064.0,22.48
2007/02/01,22.01,22.01,23.4,85679.77,194567344.0,23.23
2007/02/02,21.85,22.98,23.1,74161.38,166464832.0,22.28
2007/02/05,20.8,21.9,22.2,67529.46,143522912.0,21.35
2007/02/06,19.8,20.2,21.09,121141.96,245312864.0,20.85
2007/02/07,21.1,21.1,22.3,110377.99,239916832.0,21.94
2007/02/08,21.52,21.9,22.09,33263.57,72497336.0,21.99
2007/02/09,21.35,21.98,22.23,35159.53,76634696.0,21.76
2007/02/12,21.51,21.76,23.94,76420.58,175003232.0,23.94
2007/02/13,24.2,24.67,25.39,88502.79,220354736.0,24.91
2007/02/14,24.96,24.96,27.4,108280.29,283449664.0,27.02
2007/02/15,26.95,27.03,29.72,98509.3,277025344.0,29.72
2007/02/16,28.44,30.3,30.48,74878.47,222517520.0,29.26
2007/02/26,27.3,29.55,29.58,47794.25,135041056.0,28.6
2007/02/27,25.74,28.55,28.55,80571.51,211802224.0,26.58
2007/02/28,24.8,25.81,27.9,99123.04,255559296.0,27.58
2007/03/01,25.0,26.99,26.99,55811.6,144549056.0,25.84
2007/03/02,25.05,25.6,26.51,45556.14,118658216.0,26.18
2007/03/05,24.8,25.81,26.9,33232.62,85756424.0,25.5
2007/03/06,25.03,25.2,26.99,68829.71,180948592.0,26.56
2007/03/07,26.51,26.88,29.22,75361.32,213226752.0,29.11
2007/03/08,28.24,28.8,32.0,78163.57,235297920.0,30.63
2007/03/09,28.62,30.65,30.65,52858.68,156998336.0,29.0
2007/03/12,27.3,28.8,28.8,53862.6,151367456.0,28.09
2007/03/13,27.8,28.28,28.85,40817.88,115773416.0,28.2
2007/03/14,26.7,27.77,28.66,32328.16,89815688.0,27.84
2007/03/15,27.5,28.0,28.56,38430.72,107363384.0,27.77
2007/03/16,27.51,28.02,28.85,54149.88,153122224.0,28.15
2007/03/19,27.02,27.33,29.8,48109.2,138176416.0,28.84
2007/03/20,28.06,28.8,29.2,38462.96,109465232.0,28.21
2007/03/21,27.5,28.05,28.8,64902.84,181731200.0,27.71
2007/03/22,24.94,27.5,27.7,194993.49,508709824.0,25.81
2007/03/23,24.9,25.48,25.7,110665.09,279260896.0,25.61
2007/03/26,25.8,25.8,26.62,67984.84,178523600.0,26.19
2007/03/27,25.4,26.2,26.29,62387.06,160342608.0,25.69
2007/03/28,25.5,25.8,26.93,114034.71,300775648.0,26.67
2007/03/29,26.81,26.81,28.45,151795.49,424139520.0,28.21
2007/03/30,27.69,28.14,29.94,108827.12,316961824.0,29.07
2007/04/02,29.32,29.32,31.98,181389.8,561482688.0,31.98
2007/04/03,31.7,31.7,33.88,145101.81,477011008.0,31.9
2007/04/04,31.51,31.93,34.96,164277.45,554414016.0,34.5
2007/04/05,34.51,35.22,36.47,164602.09,586380864.0,35.91
2007/04/06,36.06,36.1,39.46,136621.91,518289088.0,37.99
2007/04/09,38.03,39.0,41.79,169940.04,686557504.0,41.79
2007/04/11,41.0,41.0,44.1,121853.4,518299872.0,41.87
2007/04/12,40.01,42.68,43.2,94884.68,387531840.0,40.49
2007/04/13,40.2,40.5,44.3,150036.78,644930241.0,42.65
2007/04/16,42.65,43.98,45.5,124162.06,545191872.0,44.22
2007/04/17,41.59,44.98,45.02,188599.57,810074432.0,43.39
2007/04/18,43.67,43.79,47.73,180480.42,831695232.0,47.73
2007/04/19,46.3,47.99,49.5,186391.23,891301632.0,49.07
2007/04/20,50.25,50.25,53.98,133080.95,699453376.0,52.74
2007/04/23,51.82,54.3,57.3,109367.87,586168256.0,54.39
2007/04/24,52.51,54.9,57.4,98722.18,548508224.0,54.7
2007/04/25,52.99,55.0,56.4,83449.36,451265344.0,54.53
2007/04/26,53.95,55.12,58.8,86818.4,487238144.0,58.43
2007/04/27,60.65,61.0,64.27,154180.09,968731648.0,64.0
2007/04/30,64.2,64.2,70.4,135453.04,933299648.0,70.38
2007/05/09,68.0,77.42,77.42,221110.49,1646608640.0,72.47
2007/05/10,67.5,71.0,71.39,109470.68,754520768.0,68.5
2007/05/11,64.0,69.98,71.9,177010.81,1212695680.0,71.16
2007/05/14,67.0,69.87,74.0,191066.37,1380932864.0,73.74
2007/05/15,66.8,74.0,74.0,155357.91,1091290752.0,67.69
2007/05/16,68.14,71.13,71.13,188068.56,1309733248.0,71.05
2007/05/17,68.3,69.8,74.8,211526.91,1509407232.0,72.3
2007/05/18,68.6,70.0,71.45,158917.56,1104918784.0,68.69
2007/05/21,65.08,65.55,70.89,140405.8,962711872.0,69.12
2007/05/22,37.5,38.41,40.5,176349.85,684352576.0,38.09
2007/05/23,36.48,37.5,39.28,277153.34,1043467200.0,38.06
2007/05/24,38.1,38.1,41.87,526246.82,2148390656.0,41.87
2007/05/25,42.5,43.0,46.06,338366.16,1495884288.0,46.06
2007/05/28,46.69,48.69,50.41,463059.6,2228380672.0,47.95
2007/05/29,48.1,49.77,51.0,266408.71,1323715328.0,50.16
2007/05/30,45.14,45.14,48.49,603405.12,2757790208.0,45.14
2007/05/31,40.63,41.01,43.42,637699.11,2609475584.0,40.63
2007/06/01,38.68,40.63,42.25,477597.58,1946898688.0,41.53
2007/06/04,37.38,41.53,42.58,326283.45,1290937856.0,37.48
2007/06/05,33.76,38.2,40.17,483271.39,1797684224.0,39.88
2007/06/06,37.89,39.5,41.04,292189.63,1157510528.0,39.72
2007/06/07,39.7,39.82,43.69,412124.1,1694515328.0,43.69
2007/06/08,43.2,44.66,48.06,549062.27,2543396608.0,47.09
2007/06/11,45.12,46.5,48.5,356318.1,1674967296.0,45.89
2007/06/12,44.51,45.41,48.5,307954.55,1434456064.0,47.09
2007/06/13,46.51,47.08,48.25,264527.09,1257071618.0,46.98
2007/06/14,46.01,47.3,48.0,264331.67,1251378432.0,47.01
2007/06/15,45.51,46.65,47.68,196139.03,913455744.0,46.89
2007/06/18,47.28,47.28,50.89,343224.71,1675127424.0,49.0
2007/06/19,46.8,48.75,49.0,194112.57,926486720.0,47.62
2007/06/20,44.7,47.53,47.53,221102.69,1015499456.0,44.78
2007/06/21,44.9,45.4,47.6,230309.95,1071121792.0,46.9
2007/06/22,43.0,47.3,47.3,241932.13,1084670848.0,44.06
2007/06/25,39.72,44.98,44.98,221157.31,924511936.0,40.0
2007/06/26,37.33,38.08,40.0,198684.66,764200000.0,39.87
2007/06/27,38.8,40.01,41.99,214342.3,858435968.0,41.07
2007/06/28,36.96,40.4,40.4,187499.29,721063872.0,36.96
2007/06/29,34.0,35.6,36.14,187940.59,658059904.0,34.19
2007/07/02,30.79,34.08,35.28,227963.73,744589696.0,32.29
2007/07/03,31.5,32.84,33.51,195614.61,639854336.0,33.1
2007/07/04,32.9,33.3,36.38,233613.84,815092352.0,34.56
2007/07/05,33.0,33.0,36.41,209655.56,735734912.0,34.15
2007/07/06,34.6,34.64,37.57,256323.34,921342464.0,37.57
2007/07/09,38.2,38.78,40.48,264592.92,1043490496.0,39.67
2007/07/10,38.9,39.67,41.12,269462.58,1081794816.0,39.13
2007/07/11,36.3,38.3,38.68,194906.29,729323840.0,37.16
2007/07/12,36.5,37.47,38.21,122381.79,457816736.0,37.61
