date,floor_price,opening_price,ceiling_price,volume,amount,closing_price
2007/01/04,2.66,2.7,2.74,38916.03,10444783.0,2.68
2007/01/05,2.65,2.68,2.74,26266.41,7097014.0,2.74
2007/01/08,2.72,2.75,2.85,53529.02,14976113.0,2.84
2007/01/09,2.8,2.85,2.9,85568.14,24598360.0,2.89
2007/01/10,2.82,2.88,2.93,104703.57,30131068.0,2.93
2007/01/11,2.91,2.95,3.2,206145.29,63610232.0,3.09
2007/01/12,2.9,3.06,3.11,107602.39,32535124.0,2.92
2007/01/15,2.86,2.92,3.08,64038.78,19121900.0,3.06
2007/01/16,3.02,3.04,3.15,84270.42,25902372.0,3.09
2007/01/17,2.95,3.09,3.15,104303.96,32197140.0,3.03
2007/01/18,3.01,3.03,3.14,68933.86,21237712.0,3.13
2007/01/19,3.13,3.13,3.23,151734.44,48451464.0,3.22
2007/01/22,3.24,3.27,3.4,139115.09,46130060.0,3.4
2007/01/23,3.22,3.42,3.45,139884.76,46459548.0,3.37
2007/01/24,3.33,3.38,3.7,207220.95,73660424.0,3.58
2007/01/25,3.3,3.53,3.55,121548.46,41727776.0,3.33
2007/01/26,3.13,3.3,3.41,100968.52,33027030.0,3.32
2007/01/29,3.33,3.33,3.57,127436.76,44100556.0,3.56
2007/01/30,3.46,3.64,3.67,195100.51,69981328.0,3.57
2007/01/31,3.27,3.53,3.53,92963.83,31837212.0,3.31
2007/02/01,3.2,3.27,3.35,77144.58,25343238.0,3.32
2007/02/02,3.21,3.31,3.37,50570.62,16648257.0,3.23
2007/02/05,3.21,3.24,3.3,39734.04,12944854.0,3.27
2007/02/06,3.27,3.29,3.43,61777.39,20770492.0,3.42
2007/02/07,3.35,3.43,3.46,68299.96,23316808.0,3.43
2007/02/08,3.4,3.46,3.55,106429.63,37320972.0,3.55
2007/02/09,3.46,3.54,3.62,87329.86,30943912.0,3.55
2007/02/12,3.55,3.55,3.6,74643.72,26673860.0,3.59
2007/02/13,3.49,3.6,3.62,93069.11,33192524.0,3.6
2007/02/14,3.57,3.59,3.75,155261.0,57039928.0,3.75
2007/02/15,3.75,3.78,3.86,137537.95,52207964.0,3.82
2007/02/16,3.75,3.85,4.0,155116.31,60013968.0,3.86
2007/02/26,3.87,3.9,4.2,155477.6,62679216.0,4.18
2007/02/27,3.76,4.18,4.28,203529.6,82412136.0,3.76
2007/02/28,3.65,3.7,4.08,151618.44,58698540.0,4.03
2007/03/01,3.88,4.05,4.32,255169.52,104677648.0,4.26
2007/03/02,4.1,4.26,4.27,138492.24,58225812.0,4.21
2007/03/05,3.94,4.23,4.3,125511.47,51796080.0,4.11
2007/03/06,4.0,4.09,4.11,82882.37,33633984.0,4.1
2007/03/07,4.07,4.11,4.26,113816.88,47493748.0,4.25
2007/03/08,4.25,4.35,4.43,213014.59,93027112.0,4.38
2007/03/09,4.28,4.39,4.43,152259.83,66445976.0,4.34
2007/03/12,4.32,4.36,4.58,155702.32,69941712.0,4.54
2007/03/13,4.51,4.54,4.8,145178.88,68003568.0,4.65
2007/03/14,4.38,4.63,4.92,198303.08,93590776.0,4.81
2007/03/15,4.78,4.78,5.05,151631.96,74831928.0,4.92
2007/03/16,4.64,4.93,4.96,147395.19,70653576.0,4.7
2007/03/19,4.43,4.5,4.79,97885.83,45526952.0,4.71
2007/03/20,4.77,4.77,4.98,130293.55,63824964.0,4.97
2007/03/21,4.89,5.0,5.05,127352.7,63475116.0,5.03
2007/03/22,4.98,5.04,5.14,123877.37,62790672.0,5.03
2007/03/23,4.87,5.0,5.08,123250.21,61479416.0,5.06
2007/03/26,5.1,5.1,5.4,134822.27,71071008.0,5.37
2007/03/27,5.27,5.37,5.63,140000.04,76795072.0,5.49
2007/03/28,5.11,5.5,5.58,172243.42,92246136.0,5.37
2007/03/29,5.02,5.37,5.39,144694.59,75036824.0,5.03
2007/03/30,4.91,4.98,5.17,82508.83,41747264.0,5.09
2007/04/02,5.05,5.1,5.2,78262.18,40165700.0,5.2
2007/04/03,5.2,5.21,5.37,91008.89,48180320.0,5.33
2007/04/04,5.22,5.34,5.44,115283.46,61123760.0,5.4
2007/04/05,5.35,5.42,5.6,171644.23,94216336.0,5.54
2007/04/06,5.43,5.5,5.7,170611.42,95809208.0,5.66
2007/04/09,5.66,5.66,6.0,186647.22,109438384.0,5.91
2007/04/10,5.66,5.9,5.94,144458.18,83821008.0,5.87
2007/04/11,5.77,5.9,6.05,194671.25,114978864.0,6.03
2007/04/12,6.03,6.05,6.34,171807.41,106814760.0,6.27
2007/04/13,6.28,6.28,6.58,222784.71,143553376.0,6.34
