date,floor_price,opening_price,ceiling_price,volume,amount,closing_price
2007/01/04,3.26,3.26,3.37,72759.78,24118398.01,3.3
2007/01/05,3.24,3.3,3.35,53897.87,17810286.01,3.35
2007/01/08,3.32,3.34,3.51,126408.91,43274440.07,3.48
2007/01/09,3.46,3.47,3.61,143652.47,50947892.01,3.59
2007/01/10,3.54,3.61,3.73,243569.88,88752360.0,3.73
2007/01/11,3.72,3.8,3.85,449864.18,170978496.0,3.72
2007/01/12,3.55,3.73,3.84,205270.24,75836608.0,3.55
2007/01/15,3.49,3.51,3.65,103427.6,37186280.0,3.65
2007/01/16,3.6,3.66,3.71,107106.29,39114012.01,3.66
2007/01/17,3.58,3.67,3.8,154126.18,57069228.0,3.7
2007/01/18,3.6,3.65,3.82,138250.46,51436860.0,3.78
2007/01/19,3.75,3.78,4.09,277400.39,110069960.0,3.99
2007/01/22,3.95,4.05,4.29,239049.6,98936544.0,4.22
2007/01/23,3.95,4.2,4.2,213400.56,87369592.0,4.14
2007/01/24,4.02,4.1,4.41,242508.22,103671360.0,4.28
2007/01/25,4.11,4.18,4.71,703216.61,324336064.0,4.56
2007/01/26,4.98,5.0,5.02,348979.86,175096736.0,5.02
2007/02/02,4.52,5.52,5.52,582977.62,292880544.0,4.55
2007/02/05,5.01,5.01,5.01,66871.49,33502612.0,5.01
2007/02/06,5.16,5.45,5.51,356488.63,193747872.0,5.51
2007/02/07,5.6,5.6,6.06,429830.7,252762848.0,5.83
2007/02/08,5.58,5.8,6.35,291711.22,171455648.0,5.76
2007/02/09,5.36,5.79,5.95,278318.83,156703056.0,5.72
2007/02/12,5.6,5.6,5.9,191067.84,109539136.0,5.75
2007/02/13,5.68,5.75,6.29,265592.64,160844496.0,6.25
2007/02/14,6.0,6.15,6.55,203505.8,127835304.0,6.38
2007/02/15,6.18,6.36,6.47,187724.59,117896368.0,6.3
2007/02/16,6.08,6.4,6.45,189047.29,116925472.0,6.1
2007/02/26,6.01,6.12,6.5,165697.24,103925096.0,6.5
2007/02/27,5.85,6.45,6.56,194060.3,119279040.0,5.85
2007/02/28,5.27,5.59,6.15,319155.39,180001216.0,6.14
2007/03/01,5.6,6.11,6.11,211423.54,122601112.0,5.65
