date,floor_price,opening_price,ceiling_price,volume,amount,closing_price
2004/01/15,8.6,8.73,11.41,435863.61,413362816.0,11.16
2004/01/16,10.04,10.18,10.51,253192.92,257889888.0,10.04
2004/01/29,9.66,9.75,10.16,116128.12,114660192.0,9.97
2004/01/30,9.51,9.88,9.95,107526.85,104437152.0,9.68
2004/02/02,9.62,9.97,10.45,156505.76,157367840.0,10.2
2004/02/03,10.04,10.2,10.38,80071.79,81536408.0,10.16
2004/02/04,10.18,10.18,10.52,82678.1,85582176.0,10.29
2004/02/05,10.11,10.3,10.4,66885.17,68264432.0,10.28
2004/02/06,10.25,10.26,10.91,117510.59,124768680.0,10.43
2004/02/09,10.51,10.53,10.89,84610.14,90444832.0,10.81
2004/02/10,10.5,10.88,10.96,59028.63,62926800.0,10.55
2004/02/11,10.54,10.58,10.97,80104.78,86602656.0,10.84
2004/02/12,10.7,10.95,11.09,51217.27,55531636.0,10.76
2004/02/13,10.4,10.81,10.92,56847.23,60164240.0,10.4
2004/02/16,10.41,10.43,10.63,37021.7,39001308.0,10.62
2004/02/17,10.5,10.63,10.8,49771.2,52942092.0,10.52
2004/02/18,10.16,10.53,10.6,66815.55,69012008.0,10.3
2004/02/19,10.3,10.3,10.68,44431.73,46620328.0,10.54
2004/02/20,10.21,10.54,10.59,31046.8,32126872.0,10.39
2004/02/23,10.03,10.42,10.42,33899.67,34761512.0,10.08
2004/02/24,9.82,10.05,10.15,34045.02,33995200.0,10.11
2004/02/25,9.63,10.11,10.19,28641.58,28544032.0,9.76
2004/02/26,9.16,9.74,9.82,39973.22,37724400.0,9.31
2004/02/27,9.11,9.31,9.52,32005.23,29807660.0,9.46
2004/03/01,9.19,9.48,9.5,21809.01,20297824.0,9.4
2004/03/02,9.28,9.4,10.34,91653.96,91980832.0,10.34
2004/03/03,10.34,10.45,10.92,199576.56,211712832.0,10.65
2004/03/04,10.43,10.62,10.91,110667.45,118623496.0,10.68
