600065.ss, 404
600003.ss, 404
600002.ss, 404
600001.ss, 404
600087.ss, 404
600092.ss, 404
600102.ss, 404
600181.ss, 404
600205.ss, 404
600263.ss, 404
600286.ss, 404
600296.ss, 404
600349.ss, 404
600591.ss, 404
600607.ss, 404
600627.ss, 404
600631.ss, 404
600632.ss, 404
600646.ss, 404
600659.ss, 404
600669.ss, 404
600672.ss, 404
600700.ss, 404
600752.ss, 404
600772.ss, 404
600709.ss, 404
600788.ss, 404
600799.ss, 404
600786.ss, 404
600813.ss, 404
600840.ss, 404
600842.ss, 404
600899.ss, 404
600991.ss, 404
603508.ss, 404
603299.ss, 404
000542.sz, 404
000569.sz, 404
000508.sz, 404
000765.sz, 404
000817.sz, 404
000827.sz, 404
000866.sz, 404
300469.sz, 404
300493.sz, 404
300494.sz, 404
600001.ss, 404
600003.ss, 404
600002.ss, 404
600065.ss, 404
600087.ss, 404
600092.ss, 404
600102.ss, 404
600181.ss, 404
600205.ss, 404
600263.ss, 404
600001.ss, 404
600003.ss, 404
600002.ss, 404
600065.ss, 404
600092.ss, 404
600087.ss, 404
600102.ss, 404
600205.ss, 404
600263.ss, 404
600181.ss, 404
600286.ss, 404
600296.ss, 404
600591.ss, 404
600625.ss, 404
600631.ss, 404
600659.ss, 404
600646.ss, 404
600670.ss, 404
600672.ss, 404
600762.ss, 404
600786.ss, 404
600840.ss, 404
600607.ss, 404
600878.ss, 404
603299.ss, 404
000015.sz, 404
000406.sz, 404
000556.sz, 404
000769.sz, 404
000832.sz, 404
002786.sz, 404
