模塑科技, 000700
厦门信达, 000701
正虹科技, 000702
恒逸石化, 000703
浙江震元, 000705
双环科技, 000707
大冶特钢, 000708
河北钢铁, 000709
天兴仪表, 000710
*ST京蓝, 000711
锦龙股份, 000712
丰乐种业, 000713
中兴商业, 000715
黑芝麻, 000716
韶钢松山, 000717
苏宁环球, 000718
大地传媒, 000719
新能泰山, 000720
西安饮食, 000721
湖南发展, 000722
美锦能源, 000723
京东方A, 000725
鲁泰A, 000726
华东科技, 000727
国元证券, 000728
燕京啤酒, 000729
*ST环保, 000730
四川美丰, 000731
泰禾集团, 000732
振华科技, 000733
罗牛山, 000735
中房地产, 000736
南风化工, 000737
中航动控, 000738
普洛药业, 000739
长城信息, 000748
国海证券, 000750
锌业股份, 000751
西藏发展, 000752
漳州发展, 000753
山西三维, 000755
新华制药, 000756
浩物股份, 000757
中色股份, 000758
中百集团, 000759
斯太尔, 000760
本钢板材, 000761
西藏矿业, 000762
锦州石化, 000763
*ST华信, 000765
通化金马, 000766
漳泽电力, 000767
中航飞机, 000768
*ST大菲, 000769
广发证券, 000776
中核科技, 000777
新兴铸管, 000778
三毛派神, 000779
平庄能源, 000780
美达股份, 000782
长江证券, 000783
武汉中商, 000785
北新建材, 000786
*ST创智, 000787
北大医药, 000788
万年青, 000789
华神集团, 000790
甘肃电投, 000791
盐湖股份, 000792
华闻传媒, 000793
太原刚玉, 000795
凯撒旅游, 000796
中国武夷, 000797
中水渔业, 000798
*ST酒鬼, 000799
一汽轿车, 000800
四川九洲, 000801
北京文化, 000802
金宇车城, 000803
*ST炎黄, 000805
银河生物, 000806
云铝股份, 000807
铁岭新城, 000809
创维数字, 000810
烟台冰轮, 000811
陕西金叶, 000812
天山纺织, 000813
*ST美利, 000815
智慧农业, 000816
辽河油田, 000817
方大化工, 000818
岳阳兴长, 000819
金城股份, 000820
京山轻机, 000821
山东海化, 000822
超声电子, 000823
太钢不锈, 000825
桑德环境, 000826
*ST长兴, 000827
东莞控股, 000828
天音控股, 000829
鲁西化工, 000830
五矿稀土, 000831
*ST龙涤, 000832
贵糖股份, 000833
长城动漫, 000835
鑫茂科技, 000836
秦川机床, 000837
国兴地产, 000838
中信国安, 000839
承德露露, 000848
华茂股份, 000850
高鸿股份, 000851
石化机械, 000852
冀东装备, 000856
五粮液, 000858
国风塑业, 000859
顺鑫农业, 000860
海印股份, 000861
银星能源, 000862
三湘股份, 000863
扬子石化, 000866
安凯客车, 000868
张裕A, 000869
吉电股份, 000875
新希望, 000876
天山股份, 000877
云南铜业, 000878
潍柴重机, 000880
大连国际, 000881
华联股份, 000882
湖北能源, 000883
同力水泥, 000885
海南高速, 000886
中鼎股份, 000887
峨眉山A, 000888
茂业通信, 000889
法尔胜, 000890
*ST星美, 000892
东凌粮油, 000893
双汇发展, 000895
津滨发展, 000897
鞍钢股份, 000898
赣能股份, 000899
现代投资, 000900
航天科技, 000901
新洋丰, 000902
云内动力, 000903
厦门港务, 000905
物产中拓, 000906
景峰医药, 000908
数源科技, 000909
大亚科技, 000910
南宁糖业, 000911
*ST天化, 000912
钱江摩托, 000913
山大华特, 000915
华北高速, 000916
电广传媒, 000917
嘉凯城, 000918
金陵药业, 000919
南方汇通, 000920
海信科龙, 000921
佳电股份, 000922
河北宣工, 000923
众合科技, 000925
福星股份, 000926
*ST夏利, 000927
中钢国际, 000928
兰州黄河, 000929
中粮生化, 000930
中关村, 000931
华菱钢铁, 000932
神火股份, 000933
四川双马, 000935
华西股份, 000936
冀中能源, 000937
紫光股份, 000938
凯迪生态, 000939
南天信息, 000948
新乡化纤, 000949
建峰化工, 000950
中国重汽, 000951
广济药业, 000952
河池化工, 000953
欣龙控股, 000955
中原油气, 000956
中通客车, 000957
东方能源, 000958
首钢股份, 000959
锡业股份, 000960
中南建设, 000961
东方钽业, 000962
华东医药, 000963
天保基建, 000965
长源电力, 000966
上风高科, 000967
煤气化, 000968
安泰科技, 000969
中科三环, 000970
蓝鼎控股, 000971
新中基, 000972
佛塑科技, 000973
银泰资源, 000975
*ST春晖, 000976
浪潮信息, 000977
桂林旅游, 000978
中弘股份, 000979
金马股份, 000980
银亿股份, 000981
中银绒业, 000982
西山煤电, 000983
大庆华科, 000985
广州友谊, 000987
华工科技, 000988
九芝堂, 000989
诚志股份, 000990
通海高科, 000991
闽东电力, 000993
*ST皇台, 000995
中国中期, 000996
新大陆, 000997
隆平高科, 000998
华润三九, 000999
宗申动力, 001696
豫能控股, 001896
新和成, 002001
鸿达兴业, 002002
伟星股份, 002003
华邦健康, 002004
德豪润达, 002005
精功科技, 002006
华兰生物, 002007
大族激光, 002008
天奇股份, 002009
传化股份, 002010
盾安环境, 002011
凯恩股份, 002012
中航机电, 002013
永新股份, 002014
*ST霞客, 002015
世荣兆业, 002016
东信和平, 002017
华信国际, 002018
亿帆鑫富, 002019
京新药业, 002020
中捷资源, 002021
科华生物, 002022
海特高新, 002023
苏宁云商, 002024
航天电器, 002025
山东威达, 002026
七喜控股, 002027
思源电气, 002028
七匹狼, 002029
达安基因, 002030
巨轮智能, 002031
苏泊尔, 002032
丽江旅游, 002033
美欣达, 002034
华帝股份, 002035
汉麻产业, 002036
久联发展, 002037
双鹭药业, 002038
黔源电力, 002039
南京港, 002040
登海种业, 002041
华孚色纺, 002042
兔宝宝, 002043
江苏三友, 002044
国光电器, 002045
轴研科技, 002046
宝鹰股份, 002047
宁波华翔, 002048
同方国芯, 002049
三花股份, 002050
中工国际, 002051
同洲电子, 002052
云南盐化, 002053
德美化工, 002054
得润电子, 002055
横店东磁, 002056
中钢天源, 002057
威尔泰, 002058
云南旅游, 002059
粤水电, 002060
江山化工, 002061
宏润建设, 002062
远光软件, 002063
华峰氨纶, 002064
东华软件, 002065
瑞泰科技, 002066
景兴纸业, 002067
黑猫股份, 002068
獐子岛, 002069
众和股份, 002070
长城影视, 002071
凯瑞德, 002072
软控股份, 002073
国轩高科, 002074
沙钢股份, 002075
雪莱特, 002076
大港股份, 002077
太阳纸业, 002078
苏州固锝, 002079
中材科技, 002080
金螳螂, 002081
栋梁新材, 002082
孚日股份, 002083
海鸥卫浴, 002084
万丰奥威, 002085
东方海洋, 002086
新野纺织, 002087
鲁阳节能, 002088
新海宜, 002089
金智科技, 002090
江苏国泰, 002091
中泰化学, 002092
国脉科技, 002093
青岛金王, 002094
生意宝, 002095
南岭民爆, 002096
山河智能, 002097
浔兴股份, 002098
海翔药业, 002099
天康生物, 002100
广东鸿图, 002101
冠福股份, 002102
广博股份, 002103
恒宝股份, 002104
信隆实业, 002105
