stock_id,mean_ripples
SH900956,45.9950363667
SZ131800,9.00378787879
SH120485,8.63251149216
SH202001,7.52503472222
SH202007,6.79613613237
SH201009,5.70505809979
SH201000,5.18623372633
SH202003,4.5814494382
SZ131801,4.25114371868
SH120520,4.05817811025
SH201008,3.64643028722
SH201010,3.64477156404
SZ131805,3.5
SZ131804,3.46666666667
SH204014,3.43666666667
SZ131806,3.42465753425
SZ131802,3.36415880503
SH204028,3.34225485762
SH600629,2.70914526487
SH120509,2.64832456297
SZ000592,2.59212832243
SH120519,2.58825890139
SZ131803,2.58333333333
SZ000650,2.49825721279
SZ002272,2.49615384615
SZ000578,2.44923464482
SH600137,2.37566881998
SH204007,2.3625
SZ000728,2.26348854419
SH120521,2.17175187217
SZ100501,2.15183988549
SH120516,2.1484337517
SZ002273,1.95948275862
SZ200054,1.95197466169
SZ000880,1.9119366775
SH600837,1.8864447328
SZ000686,1.88054936432
SZ200770,1.87309518588
SH600515,1.82768770058
SH900916,1.82433214534
SH900953,1.81933413551
SZ200029,1.8061549378
SH600109,1.80545392631
SH900913,1.80391506213
SH900908,1.80166140393
SH900928,1.79104873019
SH900921,1.78077353907
SZ200468,1.77784042781
SZ000783,1.77075340497
SZ000546,1.77042698398
SZ200018,1.76978672003
SH900907,1.76516093388
SH600239,1.761524542
SZ200413,1.7560176194
SZ200025,1.75584338672
SH900931,1.75365418895
SH900943,1.7519687135
SH600703,1.74983832328
SZ000605,1.7484630771
SH900909,1.745491229
SH600552,1.74319298007
SH600550,1.74308261475
SH600681,1.74240261865
SZ000012,1.74081945686
SZ200992,1.73704984006
SH600864,1.73566572905
SZ200168,1.72588803042
SH600477,1.72570779825
SH900904,1.72521735884
SZ200012,1.72089169163
SZ200045,1.72023687067
SZ200019,1.71814223769
SH600833,1.71734922907
SH600656,1.71524616273
SZ000685,1.71205869975
SZ200017,1.71158871366
SZ000723,1.71108411674
SZ200596,1.70905161891
SH600739,1.70662264576
SZ000515,1.70448069829
SH900906,1.70392383531
SH900917,1.69728650876
SH900948,1.69567295535
SZ000718,1.69549671678
SZ000801,1.69418962202
SH600759,1.6939782208
SZ200026,1.69214416146
SH201002,1.69214306327
SH600385,1.69021931651
SH600844,1.68970240868
SH900926,1.68907705809
SZ000150,1.68775660823
SZ000590,1.68653387166
SZ000505,1.6860313629
SZ000862,1.68567295027
SZ200160,1.68502327437
SZ002019,1.68341991408
SH900930,1.683215439
SH900951,1.68192038617
SH900920,1.68171342908
SH000300,1.68049001674
SH399300,1.68049001674
SH600151,1.68045775567
SZ000025,1.67948983017
SZ200625,1.67876513781
SZ000019,1.67850338129
SZ000596,1.67674877219
SZ000502,1.67626283487
SZ002145,1.67539874823
SZ200056,1.67305826677
SH600816,1.67298817474
SH600547,1.67215186159
SZ200011,1.66948222364
SZ200020,1.66775614501
SZ200505,1.66241044263
SH600691,1.66139038574
SZ002259,1.66081871345
SZ000020,1.66027100843
SZ200986,1.6592669199
SH600272,1.65926330271
SZ200030,1.65738732015
SH600326,1.65593606048
SH600633,1.65554355354
SZ002253,1.65542869643
SH600073,1.65517595466
SZ002274,1.65489404642
SZ000609,1.6545963416
SH900924,1.65445918548
SH600376,1.65409362352
SZ000537,1.65385151138
SH900950,1.65040583275
SZ000569,1.64972214702
SZ200521,1.64925533242
SH600677,1.64823675826
SZ200706,1.64735833908
SH900957,1.6466987364
SZ000657,1.64451237805
SZ000953,1.6443555012
SZ000952,1.64413541043
SZ000425,1.64373120607
SH600818,1.64356944178
SH600888,1.64003829014
SH600115,1.63914501042
SH600640,1.6382706794
SH600107,1.63810431556
SZ000887,1.63769537497
SZ000558,1.6371897303
SH600614,1.63549558552
SH600291,1.63432203306
SH600961,1.63405632057
SH600898,1.63349601125
SH600617,1.63121151967
SZ000712,1.63090271452
SZ000557,1.63020964827
SH600251,1.62985090914
SH900955,1.62753541033
SZ000015,1.62734058225
SH600311,1.6272258809
SZ200152,1.62683535794
SZ000682,1.62671839213
SZ000838,1.6259175257
SH600086,1.62557124312
SZ000503,1.62395181206
